reponame,dev name,star
ML-From-Scratch,eriklindernoren,"12,610"
WebGL-Fluid-Simulation,PavelDoGreat,"4,835"
learn-regex,ziishaned,"26,749"
Real-Time-Voice-Cloning,CorentinJ,"5,944"
examples,tensorflow,"1,324"
Python-100-Days,jackfrued,"57,470"
airgeddon,v1s1t0r1sh3r3,"2,030"
data-science-career,firmai,174
wttr.in,chubin,"8,302"
nlp,microsoft,377
Privilege-Escalation,Ignitetechnologies,484
coding-interview-university,jwasham,"88,180"
spring-analysis,seaswalker,"3,494"
Awesome-design-tools,phh95,430
wifi-hacker,esc0rtd3w,778
sm64,n64decomp,"1,781"
hmm,fogleman,192
scala,scala,"12,033"
unc0ver-localizations,Samgisaninja,38
swoft,swoft-cloud,"3,744"
bank,pietrzakadrian,616
awesome-selfhosted,Kickball,"35,056"
elasticsearch,elastic,"43,723"
javascript-algorithms,trekhleb,"53,024"
spring-cloud-alibaba,alibaba,"8,540"
Real-Time-Voice-Cloning,CorentinJ,"5,944"
mediapipe,google,"2,213"
JustAuth,justauth,"3,555"
Undecimus,pwn20wndstuff,"4,703"
SeetaFace2,seetafaceengine,994
android-showcase,igorwojda,"1,259"
gpt-2,openai,"7,617"
crawlab,crawlab-team,"2,211"
UnblockNeteaseMusic,nondanee,"4,893"
spring-boot-demo,xkcoding,"4,562"
awesome-python,vinta,"72,333"
d3,d3,"86,974"
pumpkin-book,datawhalechina,"8,599"
fe-interview,haizlin,"5,718"
confluent-kafka-dotnet,confluentinc,"1,158"
kaldi,kaldi-asr,"6,927"
label-studio,heartexlabs,"1,081"
LeetCodeAnimation,MisterBooo,"39,281"
learn-go-with-tests,quii,"7,393"
blueprint,palantir,"14,708"
Python-100-Days,jackfrued,"57,470"
free-books,ruanyf,"4,900"
airframe-react,0wczar,"1,530"
rust,rust-lang,"38,740"
nodegui,nodegui,"2,267"
spring-boot-demo,xkcoding,"4,562"
learn-go-with-tests,quii,"7,393"
Undecimus,pwn20wndstuff,"4,703"
dsvpn,jedisct1,"3,423"
LiteOS,LiteOS,"3,248"
Real-Time-Voice-Cloning,CorentinJ,"5,944"
google-access-helper,haotian-wang,"3,408"
outline,outline,"4,798"
coding-interview-university,jwasham,"88,183"
nps,cnlh,"7,099"
spring-cloud-alibaba,alibaba,"8,540"
fairseq,pytorch,"5,234"
OverVue,open-source-labs,"1,442"
examples-of-web-crawlers,shengqiangzhang,"3,904"
NeteaseCloudMusicApi,Binaryify,"11,376"
apple_bleee,hexway,"1,079"
UnblockNeteaseMusic,nondanee,"4,893"
kaldi,kaldi-asr,"6,927"
tech-interview-handbook,yangshun,"32,318"
google-research,google-research,"3,195"
ZeroNet,HelloZeroNet,"14,502"
zhao,programthink,"6,156"
the-super-tiny-compiler,jamiebuilds,"14,342"
tlroadmap,tlbootcamp,"1,907"
ERNIE,PaddlePaddle,"2,254"
